Family,Phenomenon,pythia-70m,gpt2,pythia-160m,pythia-410m,qwen-0.5b,pythia-1b,pythia-1.4b,qwen-1.5b,pythia-2.8b,qwen-3b,pythia-6.9b,qwen-7b,pythia-12b,qwen-14b
GPT-2,OVERALL (Average),,0.3661904761904762,,,,,,,,,,,,
GPT-2,anaphor,,0.6733333333333333,,,,,,,,,,,,
GPT-2,ellipsis,,0.4,,,,,,,,,,,,
GPT-2,quantifiers,,0.008333333333333333,,,,,,,,,,,,
Pythia,OVERALL (Average),0.5090476190476191,,0.4828571428571429,0.43333333333333335,,0.4166666666666667,0.43857142857142856,,0.4185714285714286,,0.4638095238095238,,0.439047619047619,
Pythia,anaphor,0.6216666666666667,,0.645,0.6883333333333334,,0.56,0.68,,0.6,,0.625,,0.675,
Pythia,ellipsis,0.33111111111111113,,0.41333333333333333,0.3566666666666667,,0.38555555555555554,0.43333333333333335,,0.4477777777777778,,0.4266666666666667,,0.4766666666666667,
Pythia,quantifiers,0.6633333333333333,,0.425,0.29333333333333333,,0.32,0.205,,0.19333333333333333,,0.35833333333333334,,0.14666666666666667,
Qwen,OVERALL (Average),,,,,0.5457142857142857,,,0.579047619047619,,0.5795238095238096,,0.6176190476190476,,0.6442857142857142
Qwen,anaphor,,,,,0.7533333333333333,,,0.74,,0.7466666666666667,,0.7483333333333333,,0.7983333333333333
Qwen,ellipsis,,,,,0.5055555555555555,,,0.5066666666666667,,0.5211111111111111,,0.5433333333333333,,0.5344444444444445
Qwen,quantifiers,,,,,0.3983333333333333,,,0.5266666666666666,,0.5,,0.5983333333333334,,0.655
